indice_a,indice_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,similitud_nombre,misma_direccion,mismo_telefono,status_a,status_b,decision
5639,5642,01-15-0292-46,01-15-0299-46,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,96.3,False,False,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
5641,5775,01-15-0297-46,01-15-0716-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5641,5773,01-15-0297-46,01-15-0712-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5643,5779,01-15-0301-46,01-15-0724-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,True,CERRADA TEMPORALMENTE,ABIERTA,"Probable duplicado (mismo telefono, nombre casi identico): revisar"
6686,6694,13-18-0052-46,13-18-7136-46,INSTITUTO NORMAL MIXTO POR COOPERATIVA ADSCRITO AL INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,INSTITUTO NORMAL MIXTO POR COOPERATIVA ADSCRITO AL INSTITUTO EDUCACION BASICA POR COOPERATIVA,96.3,False,False,ABIERTA,CERRADA TEMPORALMENTE,Probablemente distintos (direccion diferente): conservar ambos
5432,5475,01-14-0068-46,01-14-0183-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5642,5775,01-15-0299-46,01-15-0716-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5643,5773,01-15-0301-46,01-15-0712-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
5932,5933,01-15-8271-46,01-15-8273-46,COLEGIO CRISTIANO BEZALEEL,COLEGIO CRISTIANO 'BEZALEEL',96.3,True,False,TEMPORAL TITULOS,CERRADA TEMPORALMENTE,"Probable duplicado (misma direccion, nombre casi identico): revisar"
5642,5776,01-15-0299-46,01-15-0718-46,INSTITUTO NACIONAL DE EDUCACION BASICA Y DIVERSIFICADO,INSTITUTO NACIONAL DE EDUCACION BÁSICA Y DIVERSIFICADA,96.3,False,False,CERRADA TEMPORALMENTE,ABIERTA,Probablemente distintos (direccion diferente): conservar ambos
