departamento,municipio,establecimiento,registros,direcciones_distintas,status_distintos,jornadas_distintas,planes_distintos,codigos
GUATEMALA,FRAIJANES,LICEO MIXTO MONTE HOREB,6,4,1,3,3,01-13-0036-46; 01-13-0081-46; 01-13-0082-46; 01-13-0118-46; 01-13-0138-46; 01-13-0139-46
GUATEMALA,MIXCO,LICEO CANADIENSE SOCIEDAD ANONIMA,6,4,2,4,4,01-08-0194-46; 01-08-0195-46; 01-08-0196-46; 01-08-0197-46; 01-08-0466-46; 01-08-0782-46
HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO DE INFORMÁTICA,6,4,3,4,3,13-01-0143-46; 13-01-0145-46; 13-01-0171-46; 13-01-0302-46; 13-01-0394-46; 13-01-0396-46
HUEHUETENANGO,SAN SEBASTIÁN COATÁN,"COLEGIO PRIVADO MIXTO ""EL PARAÍSO""",6,4,2,3,2,13-25-0039-46; 13-25-0041-46; 13-25-0042-46; 13-25-0046-46; 13-25-0057-46; 13-25-0059-46
SAN MARCOS,SAN PABLO,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,6,4,1,2,1,12-19-0084-46; 12-19-0118-46; 12-19-0119-46; 12-19-0120-46; 12-19-0121-46; 12-19-0122-46
ALTA VERAPAZ,COBÁN,COLEGIO PARTICULAR MIXTO IMPERIAL,5,4,3,4,2,16-01-0143-46; 16-01-0647-46; 16-01-0668-46; 16-01-2156-46; 16-01-7308-46
CIUDAD CAPITAL,ZONA 1,LICEO TÉCNICO COMERCIAL,5,4,2,3,2,00-01-0600-46; 00-01-7216-46; 00-01-7218-46; 00-01-7219-46; 00-01-7221-46
CIUDAD CAPITAL,ZONA 17,CENTRO EDUCATIVO DE INFORMÁTICA SINAÍ,5,4,2,4,3,00-17-0011-46; 00-17-0014-46; 00-17-0045-46; 00-17-9134-46; 00-17-9135-46
CIUDAD CAPITAL,ZONA 6,COLEGIO PANAMERICANO NO. 7,5,4,1,3,2,00-06-0012-46; 00-06-0013-46; 00-06-0014-46; 00-06-0021-46; 00-06-0058-46
ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO CIENCIAS INDUSTRIALES,5,4,2,3,3,05-01-0253-46; 05-01-0272-46; 05-01-0278-46; 05-01-0330-46; 05-01-0421-46
ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TÉCNICO EVANGÉLICO,5,4,1,3,2,05-01-0270-46; 05-01-0273-46; 05-01-0274-46; 05-01-0275-46; 05-01-0303-46
ESCUINTLA,ESCUINTLA,LICEO ESPAÑOL AMERICANO,5,4,2,3,3,05-01-0323-46; 05-01-0475-46; 05-01-2121-46; 05-01-2540-46; 05-01-2541-46
ESCUINTLA,MASAGUA,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA Y DIVERSIFICADO,5,4,2,3,2,05-05-0023-46; 05-05-0024-46; 05-05-0025-46; 05-05-0032-46; 05-05-0035-46
ESCUINTLA,SANTA LUCÍA COTZUMALGUAPA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA,5,4,2,5,3,05-02-0257-46; 05-02-0785-46; 05-02-0786-46; 05-02-0948-46; 05-02-2556-46
GUATEMALA,AMATITLÁN,COLEGIO EDUCATIVO DE DESARROLLO INFORMÁTICO Y CIENTÍFICO DE AMATITLÁN,5,4,2,4,3,01-14-0108-46; 01-14-0181-46; 01-14-9261-46; 01-14-9262-46; 01-14-9266-46
GUATEMALA,MIXCO,COLEGIO DE INFORMÁTICA JUSTO RUFINO BAUTISTA,5,4,2,3,3,01-08-0312-46; 01-08-0357-46; 01-08-0359-46; 01-08-0420-46; 01-08-0878-46
GUATEMALA,SAN JUAN SACATEPÉQUEZ,CENTRO EDUCATIVO PROFESIONAL INTEGRAL (CEPROIN),5,4,3,3,3,01-10-0238-46; 01-10-0258-46; 01-10-0261-46; 01-10-0329-46; 01-10-0332-46
GUATEMALA,SAN JUAN SACATEPÉQUEZ,COLEGIO MIXTO JARDINES DE SAN GABRIEL,5,4,3,4,3,01-10-0084-46; 01-10-0139-46; 01-10-0169-46; 01-10-0304-46; 01-10-9016-46
GUATEMALA,VILLA NUEVA,INSTITUTO MIXTO PRIVADO JUAN GERARDI,5,4,1,4,3,01-15-0168-46; 01-15-0170-46; 01-15-0749-46; 01-15-0847-46; 01-15-8300-46
IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""MIGUEL ÁNGEL ASTURIAS""",5,4,2,5,3,18-01-0359-46; 18-01-0442-46; 18-01-0710-46; 18-01-1025-46; 18-01-1134-46
JALAPA,JALAPA,"CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA ""REMBRANDT""",5,4,2,4,2,21-01-0299-46; 21-01-0306-46; 21-01-0315-46; 21-01-1273-46; 21-01-1334-46
JUTIAPA,JUTIAPA,LICEO TECNOLÓGICO BILINGÜE GÉNESIS,5,4,2,3,3,22-01-0368-46; 22-01-0369-46; 22-01-0370-46; 22-01-0371-46; 22-01-0401-46
PETÉN,POPTÚN,"LICEO CRISTIANO CON ORIENTACIÓN UNIVERSITARIA ""EL SHADDAI""",5,4,2,3,2,17-12-0127-46; 17-12-0129-46; 17-12-0133-46; 17-12-0134-46; 17-12-0145-46
PETÉN,SAN BENITO,LICEO PALERMO,5,4,3,4,3,17-03-0131-46; 17-03-2832-46; 17-03-2833-46; 17-03-2834-46; 17-03-3718-46
QUICHÉ,IXCÁN,COLEGIO AMERICANO MAYA QUICHE,5,4,3,4,3,14-20-0150-46; 14-20-0184-46; 14-20-5058-46; 14-20-5525-46; 14-20-5526-46
RETALHULEU,RETALHULEU,COLEGIO MIXTO IDEAS,5,4,1,4,3,11-01-0133-46; 11-01-0223-46; 11-01-0365-46; 11-01-0366-46; 11-01-0519-46
SAN MARCOS,SAN PEDRO SACATEPÉQUEZ,"INSTITUTO TECNOLÓGICO PRIVADO URBANO MIXTO ""FERDINAND LASSALLE""",5,4,2,3,3,12-02-0148-46; 12-02-0150-46; 12-02-0151-46; 12-02-0202-46; 12-02-4528-46
ALTA VERAPAZ,COBÁN,COLEGIO DE INFORMATICA CENINFAV,4,4,2,4,3,16-01-0910-46; 16-01-8335-46; 16-01-8337-46; 16-01-9851-46
ALTA VERAPAZ,COBÁN,COLEGIO LA LIBERTAD,4,4,2,3,4,16-01-0678-46; 16-01-0694-46; 16-01-0922-46; 16-01-1491-46
ALTA VERAPAZ,SANTA MARÍA CAHABÓN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,4,4,1,2,1,16-12-0274-46; 16-12-0275-46; 16-12-0276-46; 16-12-0277-46
BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,4,4,2,2,1,15-03-0046-46; 15-03-0069-46; 15-03-0085-46; 15-03-0092-46
CHIQUIMULA,CHIQUIMULA,LICEO TECNOLÓGICO BILINGÜE CHIQUIMULTECO,4,4,1,3,3,20-01-0119-46; 20-01-0182-46; 20-01-0319-46; 20-01-0325-46
CIUDAD CAPITAL,ZONA 1,COLEGIO DE COMPUTACION Y SISTEMAS ELECTRONICOS,4,4,1,3,2,00-01-8174-46; 00-01-8176-46; 00-01-8685-46; 00-01-9229-46
CIUDAD CAPITAL,ZONA 1,INSTITUTO CIENTIFICO COMERCIAL EN COMPUTACIÓN,4,4,3,3,2,00-01-0427-46; 00-01-0788-46; 00-01-2903-46; 00-01-8199-46
CIUDAD CAPITAL,ZONA 11,"INSTITUTO PARTICULAR MIXTO NOCTURNO ""LIC. EMILIO ARENALES CATALÁN""",4,4,2,4,3,00-11-0078-46; 00-11-0861-46; 00-11-8254-46; 00-11-8447-46
CIUDAD CAPITAL,ZONA 18,LICEO JUVENIL DE COMPUTACIÓN C.S.S.,4,4,2,3,3,00-18-0138-46; 00-18-0140-46; 00-18-0226-46; 00-18-9755-46
CIUDAD CAPITAL,ZONA 7,"INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS ""SAN JUAN""",4,4,1,4,3,00-07-0072-46; 00-07-0077-46; 00-07-0129-46; 00-07-0228-46
EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,4,4,1,2,2,02-01-0066-46; 02-01-0068-46; 02-01-0069-46; 02-01-0075-46
EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,4,4,1,2,1,02-03-0169-46; 02-03-0170-46; 02-03-0171-46; 02-03-0172-46
EL PROGRESO,SANARATE,INSTITUTO TECNOLÓGICO SANARATECO,4,4,2,3,3,02-07-0022-46; 02-07-0051-46; 02-07-0239-46; 02-07-0264-46
ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,4,4,2,2,2,05-01-0144-46; 05-01-0288-46; 05-01-0325-46; 05-01-0657-46
ESCUINTLA,SAN VICENTE PACAYA,COLEGIO INTEGRAL VICENTINO,4,4,2,3,2,05-12-0028-46; 05-12-0033-46; 05-12-0035-46; 05-12-2856-46
ESCUINTLA,SIPACATE,"COLEGIO CRISTIANO ""EMANUEL""",4,4,1,3,3,05-14-0037-46; 05-14-0041-46; 05-14-0046-46; 05-14-0048-46
