departamento,municipio,establecimiento,registros,direcciones_distintas,status_distintos,jornadas_distintas,planes_distintos,codigos
GUATEMALA,VILLA NUEVA,COLEGIO CRISTIANO TERRANOVA II,2,2,2,2,1,01-15-0658-46; 01-15-0772-46
GUATEMALA,VILLA NUEVA,COLEGIO EVANGELICO MIXTO GUATEMALA,2,2,1,2,2,01-15-0183-46; 01-15-7122-46
GUATEMALA,VILLA NUEVA,COLEGIO FUTURO INTEGRAL,2,2,1,2,1,01-15-0306-46; 01-15-0307-46
GUATEMALA,VILLA NUEVA,COLEGIO INTERNACIONES,2,2,2,2,1,01-15-0657-46; 01-15-9377-46
GUATEMALA,VILLA NUEVA,COLEGIO LUIS REY,2,2,1,1,1,01-15-0126-46; 01-15-9074-46
GUATEMALA,VILLA NUEVA,COLEGIO METRO KIDS,2,2,1,1,1,01-15-0277-46; 01-15-0856-46
GUATEMALA,VILLA NUEVA,COLEGIO MIXTO BILINGUE 'PINEDA',2,2,1,1,2,01-15-6839-46; 01-15-6842-46
GUATEMALA,VILLA NUEVA,COLEGIO MONTE MARIA,2,2,1,1,1,01-15-0260-46; 01-15-2074-46
GUATEMALA,VILLA NUEVA,COLEGIO PRIVADO RENACIMIENTO,2,2,1,2,2,01-15-8673-46; 01-15-8676-46
GUATEMALA,VILLA NUEVA,"LICEO CRISTIANO ""SENDAS NUEVAS""",2,2,1,2,2,01-15-0539-46; 01-15-0742-46
GUATEMALA,VILLA NUEVA,LICEO CRISTIANO SENDAS NUEVAS,2,2,1,2,1,01-15-0389-46; 01-15-0542-46
GUATEMALA,VILLA NUEVA,LICEO MIXTO ORIENTAL GUATEMALTECO,2,2,1,2,2,01-15-0156-46; 01-15-0851-46
GUATEMALA,VILLA NUEVA,LICEO PIERRE DE FERMAT II,2,2,1,2,2,01-15-0554-46; 01-15-0757-46
HUEHUETENANGO,AGUACATÁN,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,2,2,2,1,2,13-27-0079-46; 13-27-0083-46
HUEHUETENANGO,AGUACATÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,13-27-0090-46; 13-27-0091-46
HUEHUETENANGO,CONCEPCIÓN HUISTA,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,2,2,1,1,1,13-22-0031-46; 13-22-0032-46
HUEHUETENANGO,CUILCO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,13-04-0070-46; 13-04-0112-46
HUEHUETENANGO,HUEHUETENANGO,"COLEGIO EVANGÉLICO MIXTO ""LA AURORA""",2,2,2,2,2,13-01-0432-46; 13-01-0433-46
HUEHUETENANGO,HUEHUETENANGO,"COLEGIO EVANGÉLICO PARA ADULTOS GUATEMALTECOS ""EL SHADDAI""",2,2,1,2,2,13-01-0415-46; 13-01-7111-46
HUEHUETENANGO,HUEHUETENANGO,"COLEGIO PREUNIVERSITARIO ""ALBERT EINSTEIN""",2,2,2,2,1,13-01-0214-46; 13-01-0426-46
HUEHUETENANGO,HUEHUETENANGO,"COLEGIO PRIVADO MIXTO ""NUEVO AMANECER""",2,2,2,1,1,13-01-6778-46; 13-01-6780-46
HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO MIXTO DEL NIVEL MEDIO LICEO HUEHUETECO,2,2,2,2,1,13-01-4861-46; 13-01-6096-46
HUEHUETENANGO,HUEHUETENANGO,INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP,2,2,2,1,1,13-01-0244-46; 13-01-0315-46
HUEHUETENANGO,HUEHUETENANGO,"LICEO CRISTIANO ""NUEVOS HORIZONTES""",2,2,2,2,2,13-01-0330-46; 13-01-0411-46
HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO EMPRESARIAL DEL NOROCCIDENTE,2,2,2,2,1,13-01-6759-46; 13-01-6885-46
HUEHUETENANGO,HUEHUETENANGO,"LICEO PRIVADO MIXTO ""CENTROAMERICANO HUEHUETECO""",2,2,2,1,1,13-01-0292-46; 13-01-1505-46
HUEHUETENANGO,JACALTENANGO,LICEO MIXTO PRIVADO CAMPOSECO,2,2,1,2,2,13-07-0028-46; 13-07-6872-46
HUEHUETENANGO,LA DEMOCRACIA,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,2,2,2,1,1,13-12-0130-46; 13-12-0131-46
HUEHUETENANGO,LA DEMOCRACIA,COLEGIO EVANGÉLICO PRIVADO MIXTO CASTILLO FUERTE,2,2,1,2,1,13-12-0116-46; 13-12-0125-46
HUEHUETENANGO,LA DEMOCRACIA,INSTITUTO PRIVADO MIXTO DE MAGISTERIO DE EDUCACIÓN PRIMARIA INTERCULTURAL,2,2,2,2,1,13-12-0102-46; 13-12-6584-46
HUEHUETENANGO,LA DEMOCRACIA,INSTITUTO PRIVADO MIXTO INTERCULTURAL,2,2,1,2,2,13-12-0108-46; 13-12-0140-46
HUEHUETENANGO,LA LIBERTAD,"COLEGIO PRIVADO MIXTO ""LIBERTENSE""",2,2,2,2,2,13-11-0068-46; 13-11-0079-46
HUEHUETENANGO,MALACATANCITO,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,2,2,1,2,2,13-03-0055-46; 13-03-0059-46
HUEHUETENANGO,MALACATANCITO,COLEGIO TECNOLÓGICO RURAL,2,2,1,2,2,13-03-0069-46; 13-03-0070-46
HUEHUETENANGO,MALACATANCITO,LICEO PRIVADO MIXTO EMANUEL,2,2,1,2,2,13-03-0076-46; 13-03-0080-46
HUEHUETENANGO,SAN ILDEFONSO IXTAHUACÁN,COLEGIO PRIVADO MIXTO PREUNIVERSITARIO CIENTÍFICO INTEGRAL,2,2,2,2,1,13-09-0045-46; 13-09-0064-46
HUEHUETENANGO,SAN JUAN IXCOY,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,13-23-0021-46; 13-23-0022-46
HUEHUETENANGO,SAN MATEO IXTATÁN,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,13-18-0078-46; 13-18-0079-46
HUEHUETENANGO,SANTA ANA HUISTA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,13-31-0019-46; 13-31-0020-46
HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,2,2,2,2,2,13-26-0236-46; 13-26-6891-46
HUEHUETENANGO,SANTA CRUZ BARILLAS,COLEGIO PRIVADO MIXTO SANTA MARTA VILLA SEÑOR,2,2,1,2,2,13-26-0177-46; 13-26-7116-46
HUEHUETENANGO,SANTA EULALIA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,13-17-0067-46; 13-17-0075-46
HUEHUETENANGO,SANTA EULALIA,"INSTITUTO PRIVADO DIVERSIFICADO MIXTO ""JOLOM KONOB""",2,2,1,1,1,13-17-0059-46; 13-17-0073-46
HUEHUETENANGO,TODOS SANTOS CUCHUMATÁN,LICEO PRIVADO MIXTO MAM DE DESARROLLO EDUCATIVO,2,2,2,1,1,13-15-0051-46; 13-15-0054-46
HUEHUETENANGO,UNIÓN CANTINIL,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,13-32-0051-46; 13-32-0053-46
IZABAL,EL ESTOR,CENTRO EDUCATIVO PRIVADO TALITA KUMI,2,2,1,2,1,18-03-0291-46; 18-03-0292-46
IZABAL,EL ESTOR,COLEGIO PRIVADO MIXTO DE EDUC. BASICA Y BACH. POR MADUREZ PAULO FREIRE,2,2,1,2,2,18-03-0295-46; 18-03-2455-46
IZABAL,LOS AMATES,ESCUELA PARTICULAR MIXTA LICENCIADO DAVID VELA,2,2,1,2,2,18-05-0483-46; 18-05-0589-46
IZABAL,LOS AMATES,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,18-05-0033-46; 18-05-0110-46
IZABAL,PUERTO BARRIOS,CENTRO EDUCATIVO DE FORMACIÓN INTEGRAL SAN MARTÍN DE PORRES,2,2,1,2,2,18-01-0400-46; 18-01-0430-46
IZABAL,PUERTO BARRIOS,COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACION INTEGRAL EN COMPUTACION CEIF COMP,2,2,1,2,2,18-01-0420-46; 18-01-2823-46
IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO 'MATIAS DE GALVEZ',2,2,1,2,2,18-01-0424-46; 18-01-3245-46
IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO SHADDAI,2,2,1,2,2,18-01-0246-46; 18-01-0405-46
JALAPA,JALAPA,COLEGIO ADVENTISTA MORIA,2,2,2,2,1,21-01-0377-46; 21-01-1130-46
JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO NUEVO MILENIO""",2,2,1,2,2,21-01-0111-46; 21-01-0336-46
JALAPA,JALAPA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,2,1,21-01-0206-46; 21-01-0391-46
JALAPA,JALAPA,"INSTITUTO PARTICULAR MIXTO DE BACHILLERATO POR MADUREZ ""XALAPÁN""",2,2,2,2,2,21-01-0330-46; 21-01-0413-46
JALAPA,JALAPA,INSTITUTO TÉCNICO PROFESIONAL MIGUEL ANGEL ASTURIAS,2,2,1,2,2,21-01-0271-46; 21-01-1335-46
JALAPA,MATAQUESCUINTLA,"COLEGIO PARTICULAR MIXTO ""SAN JOSÉ""",2,2,1,2,2,21-07-0095-46; 21-07-0126-46
JUTIAPA,AGUA BLANCA,COLEGIO PARTICULAR MIXTO AGUABLANQUENSE,2,2,1,2,2,22-04-0030-46; 22-04-2086-46
JUTIAPA,ASUNCIÓN MITA,COLEGIO INTEGRAL SAGRADA FAMILIA,2,2,1,2,2,22-05-0044-46; 22-05-0061-46
JUTIAPA,CONGUACO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,22-13-0028-46; 22-13-0042-46
JUTIAPA,JALPATAGUA,"COLEGIO PARTICULAR MIXTO ""SAN JOSÉ OBRERO II""",2,2,1,1,2,22-12-0041-46; 22-12-0046-46
JUTIAPA,JALPATAGUA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,2,1,22-12-0021-46; 22-12-0022-46
JUTIAPA,JUTIAPA,"COLEGIO PARTICULAR MIXTO ""EBEN EZER""",2,2,1,1,1,22-01-0350-46; 22-01-0414-46
JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO DE MAGISTERIO,2,2,1,1,1,22-01-0020-46; 22-01-0255-46
JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO GÉNESIS,2,2,1,1,2,22-01-0336-46; 22-01-0340-46
JUTIAPA,JUTIAPA,INSTITUTO TECNOLÓGICO DE COMPUTACIÓN DE ORIENTE,2,2,1,2,1,22-01-0435-46; 22-01-0621-46
JUTIAPA,JUTIAPA,LICEO JUTIAPA,2,2,1,2,1,22-01-0262-46; 22-01-0338-46
JUTIAPA,MOYUTA,INSTITUTO DIVERSIFICADO MUNICIPAL,2,2,1,2,1,22-14-0001-46; 22-14-2276-46
JUTIAPA,MOYUTA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,22-14-0031-46; 22-14-0032-46
PETÉN,DOLORES,"COLEGIO ""SAN MARTIN DE PORRES""",2,2,2,2,1,17-08-0096-46; 17-08-3207-46
PETÉN,DOLORES,LICEO EDUCATIVO SALEM,2,2,2,2,2,17-08-0068-46; 17-08-4056-46
PETÉN,FLORES,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,17-01-0064-46; 17-01-0065-46
PETÉN,LA LIBERTAD,CENTRO EDUCATIVO INTEGRAL FAGIOLI,2,2,2,2,2,17-05-0254-46; 17-05-0333-46
PETÉN,LA LIBERTAD,COLEGIO MIXTO BILINGUE BRITANNIA,2,2,1,2,2,17-05-0223-46; 17-05-0250-46
PETÉN,LA LIBERTAD,COLEGIO MIXTO DE EDUCACIÓN MEDIA -CMEM- EL INNOVADOR,2,2,1,2,2,17-05-0257-46; 17-05-0342-46
PETÉN,LA LIBERTAD,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,17-05-0360-46; 17-05-0361-46
PETÉN,LA LIBERTAD,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,2,1,17-05-0167-46; 17-05-0168-46
PETÉN,LA LIBERTAD,LICEO EDUCATIVO SICAR,2,2,1,2,2,17-05-0294-46; 17-05-0296-46
PETÉN,LAS CRUCES,CENTRO EDUCATIVO YAXTUNILHA,2,2,1,1,1,17-13-0135-46; 17-13-0136-46
PETÉN,LAS CRUCES,COLEGIO ADVENTISTA GETSEMANÍ,2,2,1,2,1,17-13-0105-46; 17-13-0157-46
PETÉN,LAS CRUCES,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,17-13-0161-46; 17-13-0162-46
PETÉN,MELCHOR DE MENCOS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,17-11-0039-46; 17-11-0040-46
PETÉN,POPTÚN,INSTITUTO DE CAPACITACION ADVENTISTA DEL PETEN,2,2,1,2,1,17-12-0119-46; 17-12-0398-46
PETÉN,POPTÚN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,17-12-0082-46; 17-12-0084-46
PETÉN,SAN ANDRÉS,INSTITUTO DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,17-04-0104-46; 17-04-0116-46
PETÉN,SAN BENITO,COLEGIO RABY BATAB,2,2,2,1,1,17-03-2236-46; 17-03-2981-46
PETÉN,SAN BENITO,"LICEO DE CIENCIAS TECNICAS ""EL REDENTOR""",2,2,2,1,1,17-03-0115-46; 17-03-0116-46
PETÉN,SAN FRANCISCO,INSTITUTO TÉCNICO MUNICIPAL DE FORMACIÓN,2,2,2,2,2,17-06-0014-46; 17-06-0040-46
PETÉN,SAN JOSÉ,"ESCUELA PRIVADA DE MAGISTERIO ""SAN JOSÉ""",2,2,2,1,1,17-02-0011-46; 17-02-3565-46
PETÉN,SAN LUIS,COLEGIO MIXTO PRIVADO SAN LUIS,2,2,2,2,2,17-09-0327-46; 17-09-2452-46
PETÉN,SAN LUIS,COLEGIO MIXTO PRIVADO SAN PEDRO MARTIR DE VERONA,2,2,1,2,2,17-09-0004-46; 17-09-0322-46
PETÉN,SAN LUIS,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,17-09-0340-46; 17-09-0341-46
PETÉN,SAN LUIS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,17-09-0121-46; 17-09-0122-46
PETÉN,SAYAXCHÉ,CENTRO EDUCATIVO PRIVADO MIXTO VISION INTEGRAL -CEVI-,2,2,2,2,2,17-10-0274-46; 17-10-0338-46
PETÉN,SAYAXCHÉ,"ESCUELA DE CIENCIAS COMERCIALES ""SAN ANTONIO DE PADUA""",2,2,1,2,2,17-10-0178-46; 17-10-0179-46
QUETZALTENANGO,CABRICÁN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,09-06-0022-46; 09-06-0025-46
QUETZALTENANGO,CANTEL,COLEGIO MIXTO ESCRIBE,2,2,1,2,2,09-14-0031-46; 09-14-3774-46
QUETZALTENANGO,COATEPEQUE,"COLEGIO CRISTIANO MIXTO ""SHALOM""",2,2,2,2,2,09-20-0034-46; 09-20-0079-46
QUETZALTENANGO,COATEPEQUE,COLEGIO EDUCATIVO PRIVADO DEL SUR,2,2,1,2,2,09-20-0121-46; 09-20-0151-46
QUETZALTENANGO,COATEPEQUE,"COLEGIO MIXTO ""CENTROAMERICANO""",2,2,2,2,1,09-20-0004-46; 09-20-0047-46
QUETZALTENANGO,COATEPEQUE,INSTITUTO DE SUPERACIÓN DE OCCIDENTE,2,2,1,2,2,09-20-0069-46; 09-20-0134-46
QUETZALTENANGO,COATEPEQUE,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA,2,2,1,2,1,09-20-0066-46; 09-20-3189-46
QUETZALTENANGO,COATEPEQUE,"INSTITUTO PRIVADO ""RAFAEL AREVALO MARTINEZ""",2,2,1,2,1,09-20-0655-46; 09-20-3052-46
QUETZALTENANGO,COATEPEQUE,INSTITUTO PRIVADO COALTEPEC,2,2,1,2,2,09-20-0129-46; 09-20-0154-46
QUETZALTENANGO,COATEPEQUE,INSTITUTO TECNICO PRIVADO MARIANO GALVEZ,2,2,1,2,1,09-20-0102-46; 09-20-3029-46
QUETZALTENANGO,COLOMBA COSTA CUCA,INED,2,2,1,1,1,09-17-0078-46; 09-17-0084-46
QUETZALTENANGO,COLOMBA COSTA CUCA,"LICEO PRE-UNIVERSITARIO ""VILLA DE COLOMBA""",2,2,2,2,2,09-17-0058-46; 09-17-0073-46
QUETZALTENANGO,EL PALMAR,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,09-19-0013-46; 09-19-0014-46
QUETZALTENANGO,GÉNOVA COSTA CUCA,"COLEGIO TÉCNICO PRIVADO MIXTO ""LUZ Y VIDA""",2,2,1,2,1,09-21-0056-46; 09-21-0057-46
QUETZALTENANGO,LA ESPERANZA,COLEGIO PRIVADO MIXTO ISAAC NEWTON,2,2,2,2,2,09-23-0012-46; 09-23-3806-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO CONTINENTAL,2,2,2,2,2,09-01-0326-46; 09-01-4108-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO CRISTIANO MIXTO PRE-UNIVERSITARIO PESTALOZZI,2,2,1,2,1,09-01-0469-46; 09-01-3293-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGÉLICO LA PALABRA,2,2,2,2,2,09-01-0521-46; 09-01-2801-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO INTEGRAL EMPRESARIAL POR MADUREZ -CIEM-,2,2,2,2,2,09-01-3951-46; 09-01-3952-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO LIFE SCHOOL,2,2,2,2,1,09-01-0537-46; 09-01-0539-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO MIXTO BILINGUE 'SAN PABLO',2,2,1,2,2,09-01-0143-46; 09-01-3818-46
QUETZALTENANGO,QUETZALTENANGO,COLEGIO PREUNIVERSITARIO SALAMANCA,2,2,2,2,2,09-01-0414-46; 09-01-0508-46
QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO ""BELLAS ARTES""",2,2,2,2,1,09-01-0334-46; 09-01-0335-46
QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SUPERACIÓN""",2,2,2,2,2,09-01-0515-46; 09-01-3577-46
QUETZALTENANGO,QUETZALTENANGO,ESCUELA PRIVADA MIXTA DE FORMACION ARTISTICA,2,2,1,2,1,09-01-3664-46; 09-01-3959-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,2,2,2,1,1,09-01-0139-46; 09-01-3670-46
QUETZALTENANGO,QUETZALTENANGO,"INSTITUTO NACIONAL ""JACOBO ARBENZ GUZMÁN""",2,2,2,1,1,09-01-0125-46; 09-01-0525-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO CORAZON DE JESUS,2,2,1,2,2,09-01-0138-46; 09-01-0151-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE OCCIDENTE,2,2,1,2,1,09-01-0150-46; 09-01-4072-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO URBANO MIXTO SAN IGNACIO DE LOYOLA,2,2,1,2,1,09-01-0557-46; 09-01-1085-46
QUETZALTENANGO,QUETZALTENANGO,INSTITUTO TÉCNICO INDUSTRIAL PARA VARONES DE QUETZALTENANGO,2,2,1,2,1,09-01-0444-46; 09-01-0825-46
QUETZALTENANGO,SALCAJÁ,INSTITUTO DE ESTUDIOS ALTERNATIVOS DE GUATEMALA,2,2,1,1,1,09-02-0036-46; 09-02-0037-46
QUETZALTENANGO,SAN CARLOS SIJA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,2,1,09-04-0029-46; 09-04-0048-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,COLEGIO CRISTIANO MIXTO ALFA Y OMEGA,2,2,1,2,2,09-09-0080-46; 09-09-0120-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,"COLEGIO MIXTO ""LA COLINA DE LOS TRES TAMBORES""",2,2,1,2,1,09-09-0075-46; 09-09-0082-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,"COLEGIO MIXTO ""MATÍAS STEEGHS""",2,2,1,2,2,09-09-0074-46; 09-09-0105-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,"COLEGIO MIXTO ""SAN JUAN BAUTISTA""",2,2,2,2,2,09-09-0086-46; 09-09-0109-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,COLEGIO MIXTO LA SABIDURIA,2,2,1,2,1,09-09-0066-46; 09-09-3658-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,"COLEGIO MIXTO PRE-UNIVERSITARIO ""OSTUNCALCO""",2,2,2,2,2,09-09-0046-46; 09-09-0107-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,COLEGIO MIXTO PRE-UNIVERSITARIO OSTUNCALCO,2,2,1,2,1,09-09-0072-46; 09-09-0088-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,09-09-0030-46; 09-09-0031-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'CENTRO EDUCATIVO LICENCIADO ANIBAL DE LEON MALDONADO',2,2,2,2,1,09-09-0328-46; 09-09-0766-46
QUETZALTENANGO,SAN JUAN OSTUNCALCO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'CENTROAMERICANO',2,2,1,2,2,09-09-0329-46; 09-09-0333-46
QUETZALTENANGO,SAN MARTÍN SACATEPÉQUEZ,"COLEGIO PRIVADO MIXTO ""ESTRELLA DEL ÉXITO""",2,2,1,2,2,09-12-0063-46; 09-12-0077-46
QUETZALTENANGO,SAN MARTÍN SACATEPÉQUEZ,COLEGIO PRIVADO MIXTO ESTRELLA DEL ÉXITO,2,2,2,2,2,09-12-0040-46; 09-12-0061-46
QUICHÉ,CHAJUL,INSTITUTO DIVERSIFICADO MIXTO BILINGÜE,2,2,2,1,1,14-05-0084-46; 14-05-5456-46
QUICHÉ,CHAJUL,INSTITUTO DIVERSIFICADO SOCIEDAD IXIL,2,2,2,2,1,14-05-0083-46; 14-05-5455-46
QUICHÉ,IXCÁN,COLEGIO MIXTO PREUNIVERSITARIO BILINGÜE INTERCULTURAL,2,2,2,2,2,14-20-0166-46; 14-20-0186-46
QUICHÉ,IXCÁN,INSTITUTO MIXTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA,2,2,1,2,1,14-20-0140-46; 14-20-5881-46
QUICHÉ,IXCÁN,INSTITUTO TÉCNICO DIVERSIFICADO ASOCIATIVA AJ YICHKAN,2,2,1,2,1,14-20-0156-46; 14-20-5813-46
QUICHÉ,JOYABAJ,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,14-12-0162-46; 14-12-0164-46
QUICHÉ,NEBAJ,CENTRO DE ESTUDIOS INTEGRADOS TECNÓLOGICO NEBAJ,2,2,1,2,1,14-13-0124-46; 14-13-5665-46
QUICHÉ,SAN ANDRÉS SAJCABAJÁ,INSTITUTO NORMAL MIXTO SAN ANDRES,2,2,1,2,1,14-14-0040-46; 14-14-5492-46
QUICHÉ,SAN JUAN COTZAL,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,14-11-0072-46; 14-11-0073-46
QUICHÉ,SAN JUAN COTZAL,"INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ ""SAN JUAN""",2,2,2,2,2,14-11-0048-46; 14-11-0059-46
QUICHÉ,SAN MIGUEL USPANTÁN,CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-,2,2,2,2,2,14-15-0258-46; 14-15-0259-46
QUICHÉ,SAN MIGUEL USPANTÁN,"COLEGIO EVANGÉLICO METODISTA ""MARANATHA""",2,2,2,1,1,14-15-0235-46; 14-15-0249-46
QUICHÉ,SAN MIGUEL USPANTÁN,INSTITUTO MUNICIPAL DE MAGISTERIO BILINGÜE INTERCULTURAL USPANTEKO,2,2,2,2,1,14-15-0232-46; 14-15-5412-46
QUICHÉ,SAN MIGUEL USPANTÁN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,2,1,1,14-15-0103-46; 14-15-0104-46
QUICHÉ,SAN MIGUEL USPANTÁN,LICEO MIXTO SAN MIGUEL,2,2,1,1,1,14-15-0215-46; 14-15-0217-46
QUICHÉ,SANTA CRUZ DEL QUICHÉ,"INSTITUTO PRIVADO MIXTO ""CIENCIA Y CULTURA""",2,2,2,2,2,14-01-0242-46; 14-01-0269-46
QUICHÉ,SANTA CRUZ DEL QUICHÉ,INSTITUTO TÉCNICO DE NIVEL MEDIO,2,2,1,2,1,14-01-0236-46; 14-01-6123-46
QUICHÉ,SANTO TOMÁS CHICHICASTENANGO,CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-,2,2,2,2,2,14-06-0072-46; 14-06-0073-46
RETALHULEU,CHAMPERICO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,11-07-0014-46; 11-07-0015-46
RETALHULEU,EL ASINTAL,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA,2,2,1,1,1,11-09-0088-46; 11-09-0097-46
RETALHULEU,NUEVO SAN CARLOS,CENTRO EDUCATIVO EL EXITO,2,2,2,2,2,11-08-0044-46; 11-08-0075-46
RETALHULEU,NUEVO SAN CARLOS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,2,2,1,1,1,11-08-0014-46; 11-08-0024-46
RETALHULEU,RETALHULEU,CENTRO EDUCATIVO RETALTECO DE FORMACIÓN INTEGRAL,2,2,1,2,2,11-01-0218-46; 11-01-0494-46
RETALHULEU,RETALHULEU,"COLEGIO ""JOSÉ BATRES MONTÚFAR""",2,2,2,1,1,11-01-0292-46; 11-01-0293-46
RETALHULEU,RETALHULEU,COLEGIO CENTRO EDUCATIVO RETALTECO DE FORMACION INTEGRAL,2,2,2,1,1,11-01-0120-46; 11-01-1332-46
RETALHULEU,RETALHULEU,COLEGIO CIENTIFICO 'ALBERT EINSTEIN',2,2,1,2,1,11-01-1329-46; 11-01-1484-46
RETALHULEU,RETALHULEU,COLEGIO COSTA SUR,2,2,1,1,1,11-01-1447-46; 11-01-1448-46
RETALHULEU,RETALHULEU,"COLEGIO EVANGÉLICO MIXTO ""SINAÍ""",2,2,2,1,1,11-01-0298-46; 11-01-0300-46
